candidato,intencao_voto_pct,rejeicao_pct,desvio_padrao_pct,instituto,data
Lula,35.0,42.0,2.0,Datafolha,2026-02-20
Flávio Bolsonaro,29.0,48.0,2.0,Datafolha,2026-02-20
Outros,21.0,0.0,2.0,Datafolha,2026-02-20
Brancos/Nulos,15.0,0.0,2.0,Datafolha,2026-02-20
