candidato,intencao_voto_pct,rejeicao_pct,desvio_padrao_pct,indecisos_pct,instituto,data,snapshot
Jair Bolsonaro,28.0,46.0,2.0,6.0,IBOPE,2018-09-24,T-14
Fernando Haddad,22.0,30.0,2.0,6.0,IBOPE,2018-09-24,T-14
Ciro Gomes,11.0,18.0,2.0,6.0,IBOPE,2018-09-24,T-14
Geraldo Alckmin,8.0,20.0,2.0,6.0,IBOPE,2018-09-24,T-14
Jair Bolsonaro,31.2,0.0,2.0,6.3,Paraná Pesquisas,2018-09-26,T-14
Fernando Haddad,20.2,0.0,2.0,6.3,Paraná Pesquisas,2018-09-26,T-14
Ciro Gomes,10.1,0.0,2.0,6.3,Paraná Pesquisas,2018-09-26,T-14
Geraldo Alckmin,7.6,0.0,2.0,6.3,Paraná Pesquisas,2018-09-26,T-14
Jair Bolsonaro,28.0,46.0,2.0,5.0,Datafollha,2018-09-28,T-14
Fernando Haddad,22.0,32.0,2.0,5.0,Datafollha,2018-09-28,T-14
Ciro Gomes,11.0,21.0,2.0,5.0,Datafollha,2018-09-28,T-14
Geraldo Alckmin,10.0,24.0,2.0,5.0,Datafollha,2018-09-28,T-14
Jair Bolsonaro,27.0,44.0,2.0,7.0,IBOPE,2018-09-26,T-14
Fernando Haddad,21.0,27.0,2.0,7.0,IBOPE,2018-09-26,T-14
Ciro Gomes,12.0,16.0,2.0,7.0,IBOPE,2018-09-26,T-14
Geraldo Alckmin,8.0,19.0,2.0,7.0,IBOPE,2018-09-26,T-14
